event_id,prog_id,athlete_id,full_name,country,finish_status,finish_position,swimtime,t1time,biketime,t2time,runtime,total_time,prog_name,prog_distance_category,event_name,event_date,cat_name,swim_distance,bike_distance,run_distance,swimtime_sec,t1time_sec,biketime_sec,t2time_sec,runtime_sec,total_time_sec,para_subclass,time_factor_sec,time_factor_year,time_factor_applied,swimtime_sec_adjusted,total_time_sec_adjusted,sum_splits_sec,total_time_sec_raw,swimtime_sec_raw,time_factor_segment_sec,distance_panel,swim_pace_s_per_100m,bike_pace_s_per_km,run_pace_s_per_km,bike_speed_kmh,bike_speed_mph,total_time_fmt,event_label,biketime_sec_outlier,t2time_sec_outlier,bike_pace_s_per_km_outlier,swim_pace_s_per_100m_outlier,bike_speed_kmh_outlier,swimtime_sec_outlier,run_pace_s_per_km_outlier,t1time_sec_outlier,runtime_sec_outlier
163477,546896,115542,Claire Cashmore,Great Britain,FINISH,1.0,00:10:52,00:01:04,00:33:06,00:00:40,00:19:55,01:05:35,PTS5 Women,sprint,2022 World Triathlon Para Series Swansea,2022-08-06,World Para Series,750.0,19500.0,5000.0,652.0,64.0,1986.0,40.0,1195.0,3935.0,,,,False,652.0,3935.0,3937.0,3937.0,652.0,-2.0,Sprint,86.93333333333334,101.84615384615384,239.0,35.34743202416919,21.963869184290033,1:05:35,2022 World Triathlon Para Series Swansea,False,False,False,False,False,False,False,False,False
163477,546896,85170,Grace Norman,United States,DNF,,00:10:52,00:01:10,00:00:00,00:00:00,00:00:00,DNF,PTS5 Women,sprint,2022 World Triathlon Para Series Swansea,2022-08-06,World Para Series,750.0,19500.0,5000.0,,,,,,,,,,False,,,,,,,Sprint,,,,,,,2022 World Triathlon Para Series Swansea,False,False,False,False,False,False,False,False,False
184628,560536,115542,Claire Cashmore,Great Britain,FINISH,2.0,00:11:29,00:01:19,00:33:50,00:00:49,00:19:57,01:07:21,PTS5 Women,sprint,2022 World Triathlon Para Championships Abu Dhabi,2022-11-24,World Championships,750.0,20002.0,5000.0,689.0,79.0,2030.0,49.0,1197.0,4041.0,,,,False,689.0,4041.0,4044.0,4044.0,689.0,-3.0,Sprint,91.86666666666666,101.48985101489852,239.4,35.47152709359606,22.040978261674876,1:07:21,2022 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
184628,560536,85170,Grace Norman,United States,FINISH,1.0,00:11:34,00:01:38,00:33:01,00:00:59,00:18:50,01:05:59,PTS5 Women,sprint,2022 World Triathlon Para Championships Abu Dhabi,2022-11-24,World Championships,750.0,20002.0,5000.0,694.0,98.0,1981.0,59.0,1130.0,3959.0,,,,False,694.0,3959.0,3962.0,3962.0,694.0,-3.0,Sprint,92.53333333333333,99.04009599040097,226.0,36.34891468955073,22.586161469560828,1:05:59,2022 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
184628,560536,111973,Kamylle Frenette,Canada,FINISH,3.0,00:11:35,00:01:17,00:34:08,00:00:50,00:21:03,01:08:52,PTS5 Women,sprint,2022 World Triathlon Para Championships Abu Dhabi,2022-11-24,World Championships,750.0,20002.0,5000.0,695.0,77.0,2048.0,50.0,1263.0,4132.0,,,,False,695.0,4132.0,4133.0,4133.0,695.0,-1.0,Sprint,92.66666666666667,102.38976102389762,252.6,35.159765625,21.847258726171873,1:08:52,2022 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
171981,576244,47881,Lauren Steadman,Great Britain,FINISH,2.0,00:11:43,00:01:10,00:35:32,00:01:36,00:20:21,01:10:24,PTS5 Women,sprint,2023 World Triathlon Para Cup Besancon,2023-06-17,World Para Cup,750.0,20000.0,5000.0,703.0,70.0,2132.0,96.0,1221.0,4224.0,,,,False,703.0,4224.0,4222.0,4222.0,703.0,2.0,Sprint,93.73333333333333,106.6,244.2,33.77110694183865,20.984386491557228,1:10:24,2023 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
171981,576244,111973,Kamylle Frenette,Canada,FINISH,7.0,00:11:40,00:01:06,00:51:05,00:01:39,00:21:22,01:26:54,PTS5 Women,sprint,2023 World Triathlon Para Cup Besancon,2023-06-17,World Para Cup,750.0,20000.0,5000.0,700.0,66.0,3065.0,99.0,1282.0,5214.0,,,,False,700.0,5214.0,5212.0,5212.0,700.0,2.0,Sprint,93.33333333333333,153.25,256.4,23.491027732463294,14.59664339314845,1:26:54,2023 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
171981,576244,85170,Grace Norman,United States,FINISH,1.0,00:11:40,00:01:12,00:35:31,00:01:46,00:19:16,01:09:28,PTS5 Women,sprint,2023 World Triathlon Para Cup Besancon,2023-06-17,World Para Cup,750.0,20000.0,5000.0,700.0,72.0,2131.0,106.0,1156.0,4168.0,,,,False,700.0,4168.0,4165.0,4165.0,700.0,3.0,Sprint,93.33333333333333,106.55,231.2,33.7869544814641,20.99423369310183,1:09:28,2023 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
171982,576224,115542,Claire Cashmore,Great Britain,FINISH,1.0,00:11:57,00:01:09,00:34:30,00:01:32,00:19:49,01:08:59,PTS5 Women,sprint,2023 World Triathlon Para Cup A Coruna,2023-07-01,World Para Cup,750.0,20800.0,5000.0,717.0,69.0,2070.0,92.0,1189.0,4139.0,,,,False,717.0,4139.0,4137.0,4137.0,717.0,2.0,Sprint,95.6,99.51923076923076,237.8,36.173913043478265,22.477420521739134,1:08:59,2023 World Triathlon Para Cup A Coruna,False,False,False,False,False,False,False,False,False
174960,589249,85170,Grace Norman,United States,FINISH,1.0,00:12:04,00:00:42,00:30:59,00:00:50,00:18:31,01:03:06,PTS5 Women,sprint,2023 World Triathlon Para Series Montreal,2023-07-08,World Para Series,773.0,20200.0,5000.0,724.0,42.0,1859.0,50.0,1111.0,3786.0,,,,False,724.0,3786.0,3786.0,3786.0,724.0,0.0,Sprint,93.66106080206985,92.02970297029704,222.2,39.11780527165142,24.306669779451315,1:03:06,2023 World Triathlon Para Series Montreal,False,False,False,False,False,False,False,False,False
