event_id,prog_id,event_name,tier,distance,error_type,athlete_id,athlete_full_name,predicted_rank,actual_rank,rank_error,pred_total_sec,actual_total_sec,pred_finish_pct,n_field,event_p10
194222,674236,2025 T100 Triathlon World Tour Oropesa,1b,middle_distance,false_alarm,137255,,11,11,0,4179.9843601895745,11951.0,0.5599958866914366,17,0.8
194222,674236,2025 T100 Triathlon World Tour Oropesa,1b,middle_distance,false_alarm,11143,,4,12,-8,13011.934135499268,12034.0,0.33542204916978025,17,0.8
194222,674237,2025 T100 Triathlon World Tour Oropesa,1b,middle_distance,missed,83091,,14,8,6,14453.992337823747,13099.0,0.6409760677500517,17,0.9
194222,674237,2025 T100 Triathlon World Tour Oropesa,1b,middle_distance,false_alarm,181917,,9,13,-4,14588.716755166206,13365.0,0.4827919487748382,17,0.9
195021,676290,2025 T100 Triathlon World Tour Wollongong,1b,middle_distance,missed,68564,,12,5,7,5299.22654028436,11464.0,0.4422683506353364,21,0.8
195021,676290,2025 T100 Triathlon World Tour Wollongong,1b,middle_distance,missed,200997,,11,10,1,13568.720000000001,11621.0,0.37381124799643717,21,0.8
195021,676290,2025 T100 Triathlon World Tour Wollongong,1b,middle_distance,false_alarm,80307,,5,14,-9,4496.502843601896,11836.0,0.3038450058072316,21,0.8
195021,676290,2025 T100 Triathlon World Tour Wollongong,1b,middle_distance,false_alarm,21884,,9,17,-8,5073.100947867298,11928.0,0.399447261253533,21,0.8
195021,676291,2025 T100 Triathlon World Tour Wollongong,1b,middle_distance,missed,106416,,14,7,7,14712.873457318983,13089.0,0.6456343973304847,16,0.8
195021,676291,2025 T100 Triathlon World Tour Wollongong,1b,middle_distance,missed,123898,,14,6,8,9338.103317535546,13073.0,0.5706043777617702,16,0.8
195021,676291,2025 T100 Triathlon World Tour Wollongong,1b,middle_distance,false_alarm,98051,,12,14,-2,6584.818957345972,13483.0,0.5475934502518631,16,0.8
195021,676291,2025 T100 Triathlon World Tour Wollongong,1b,middle_distance,false_alarm,39835,,7,13,-6,14636.774097904785,13448.0,0.5098589709984689,16,0.8
194698,674207,2025 T100 Triathlon World Tour Dubai,1b,middle_distance,missed,39736,,17,10,7,13606.2336492891,11509.0,0.6395349975843805,17,0.7
194698,674207,2025 T100 Triathlon World Tour Dubai,1b,middle_distance,missed,30633,,10,3,7,12989.957345971565,11261.0,0.45880564851026884,17,0.7
194698,674207,2025 T100 Triathlon World Tour Dubai,1b,middle_distance,missed,31992,,16,9,7,9564.395734597154,11472.0,0.6591237116527282,17,0.7
194698,674207,2025 T100 Triathlon World Tour Dubai,1b,middle_distance,false_alarm,103848,,9,12,-3,13312.345590227724,11601.0,0.5329460072455597,17,0.7
194698,674207,2025 T100 Triathlon World Tour Dubai,1b,middle_distance,false_alarm,96441,,8,15,-7,12915.28767772512,11684.0,0.402888009048654,17,0.7
194698,674207,2025 T100 Triathlon World Tour Dubai,1b,middle_distance,false_alarm,40311,,2,13,-11,12269.142105577932,11602.0,0.15706154477419396,17,0.7
194698,674209,2025 T100 Triathlon World Tour Dubai,1b,middle_distance,missed,63722,,16,10,6,14151.908920120755,13526.0,0.64217160539656,17,0.8
194698,674209,2025 T100 Triathlon World Tour Dubai,1b,middle_distance,missed,83091,,11,9,2,13710.513542169423,13499.0,0.5995814855837357,17,0.8
194698,674209,2025 T100 Triathlon World Tour Dubai,1b,middle_distance,false_alarm,181906,,11,15,-4,14491.93959098114,13918.0,0.5529016376030166,17,0.8
194698,674209,2025 T100 Triathlon World Tour Dubai,1b,middle_distance,false_alarm,140403,,10,11,-1,14179.9219134169,13646.0,0.5655998502108273,17,0.8
194959,675813,2025 T100 Triathlon World Championship Final Qatar,1b,middle_distance,missed,96441,,11,5,6,12904.3345971564,11330.0,0.6426808568327624,20,0.8
194959,675813,2025 T100 Triathlon World Championship Final Qatar,1b,middle_distance,missed,67535,,11,9,2,12584.880000000001,11572.0,0.6469347208501349,20,0.8
194959,675813,2025 T100 Triathlon World Championship Final Qatar,1b,middle_distance,false_alarm,30633,,9,12,-3,12739.569194312797,11758.0,0.6050811458037461,20,0.8
194959,675813,2025 T100 Triathlon World Championship Final Qatar,1b,middle_distance,false_alarm,11143,,8,13,-5,13075.936923076924,11895.0,0.47355013066043083,20,0.8
194959,675814,2025 T100 Triathlon World Championship Final Qatar,1b,middle_distance,missed,75945,,16,9,7,13043.530178761528,13034.0,0.5952964302848903,24,0.7
194959,675814,2025 T100 Triathlon World Championship Final Qatar,1b,middle_distance,missed,98269,,12,10,2,13027.971257540947,13039.0,0.4997362556143701,24,0.7
194959,675814,2025 T100 Triathlon World Championship Final Qatar,1b,middle_distance,missed,28302,,16,4,12,13383.822801079237,12891.0,0.6369787043897146,24,0.7
194959,675814,2025 T100 Triathlon World Championship Final Qatar,1b,middle_distance,false_alarm,140588,,9,11,-2,13379.00523177987,13065.0,0.49186725860891595,24,0.7
194959,675814,2025 T100 Triathlon World Championship Final Qatar,1b,middle_distance,false_alarm,70613,,11,16,-5,13374.443488849416,13325.0,0.5601595450665435,24,0.7
194959,675814,2025 T100 Triathlon World Championship Final Qatar,1b,middle_distance,false_alarm,81334,,5,15,-10,12952.742159847276,13248.0,0.34935910634085954,24,0.7
194203,674165,2025 World Triathlon Cup Tiszaujvaros,2,sprint,missed,162136,,20,8,12,3530.155900225892,3170.0,0.35324930772338603,67,0.6
194203,674165,2025 World Triathlon Cup Tiszaujvaros,2,sprint,missed,56153,,13,3,10,3308.419537411617,3142.0,0.21862112467122166,67,0.6
194203,674165,2025 World Triathlon Cup Tiszaujvaros,2,sprint,missed,97101,,16,7,9,3380.2832846810884,3168.0,0.2686892022681166,67,0.6
194203,674165,2025 World Triathlon Cup Tiszaujvaros,2,sprint,missed,74423,,12,9,3,3351.3897550163065,3172.0,0.28629049484302155,67,0.6
194203,674165,2025 World Triathlon Cup Tiszaujvaros,2,sprint,false_alarm,47611,,10,24,-14,3307.391382577355,3231.0,0.2909062523395015,67,0.6
194203,674165,2025 World Triathlon Cup Tiszaujvaros,2,sprint,false_alarm,106595,,2,46,-44,3327.096160074703,3246.0,0.14426979143335894,67,0.6
