event_id,prog_id,event_name,tier,distance,p10,n_field,n_missed,n_false_alarm
195061,676427,2025 Americas Triathlon Cup and Iberoamerican Championships Maldonado,3,sprint,0.9,24,1,1
194939,674777,2025 Europe Triathlon Sprint and Relay Championships Melilla,4,sprint,0.6,63,4,4
194939,674778,2025 Europe Triathlon Sprint and Relay Championships Melilla,4,sprint,0.8,47,2,2
194936,674218,2025 Europe Triathlon Baltic Championships Otepää,4,sprint,0.8,33,2,2
194936,674219,2025 Europe Triathlon Baltic Championships Otepää,4,sprint,0.9,15,1,1
194871,676311,2025 Asuncion Junior Pan-American Games,4,sprint,0.8,30,2,2
194871,676312,2025 Asuncion Junior Pan-American Games,4,sprint,0.9,27,1,1
195022,676200,2025 Americas Triathlon CARIFTA  Championships Tobago,4,sprint,1.0,17,0,0
195022,676201,2025 Americas Triathlon CARIFTA  Championships Tobago,4,sprint,1.0,14,0,0
194000,674806,2025 Europe Triathlon Championships Istanbul,4,standard,0.5,52,5,5
194731,674801,2025 Asia Triathlon Championships Istanbul,4,standard,0.7,33,3,3
194000,674807,2025 Europe Triathlon Championships Istanbul,4,standard,0.6,44,4,4
194731,674802,2025 Asia Triathlon Championships Istanbul,4,standard,0.6,21,4,4
194283,674283,2025 Africa Triathlon Sprint Championships El Galala,4,sprint,0.8,14,2,2
194969,675395,2025 Europe Triathlon Balkan Championships Mudanya-Bursa,4,sprint,0.7,25,3,3
195094,676498,2025 World Triathlon Women’s Cup Dubai,4,sprint,0.9,15,1,1
195127,676706,2025 Asia Triathlon West Asian Championship Fujairah,4,sprint,,8,0,0
