event_id,prog_id,event_name,event_class,event_date,country,team_finish,relay_athletes,women,men,matched_individual_slots,individual_top2_slots,individual_top3_slots,avg_individual_country_rank,matched_prior_365_slots,prior_365_top2_slots,prior_365_top3_slots,avg_prior_365_country_rank,avg_prior_365_form_score,medal_team,all_individual_top2,all_individual_top3,all_prior_365_top2,all_prior_365_top3
194720,674100,2025 Asia Triathlon Sprint Championships Hong Kong,Continental Championship,2025-04-05,Kazakhstan,7,Alexandr Ten | Diana Yerzhanova | Milena Saprina | Yegor Krupyakov,2,2,4,3,3,2.5,3,2,2,2.3333333333333335,0.5106481481481482,False,False,False,False,False
194720,674100,2025 Asia Triathlon Sprint Championships Hong Kong,Continental Championship,2025-04-05,Indonesia,8,Bima Muslim Perdana | Hauqalah Fakhal Arvyello | Martina Ayu Pratiwi | Renata Berliana Aditya,2,2,4,3,4,2.0,4,2,3,2.75,0.5487986156815559,False,False,True,False,False
194720,674100,2025 Asia Triathlon Sprint Championships Hong Kong,Continental Championship,2025-04-05,Philippines,9,Andrew Remolino | Erika Burgos | Matthew Hermosa | Raven Alcoseba,2,2,4,3,4,1.75,4,1,2,3.75,0.3519927414539483,False,False,True,False,False
194195,671091,2025 World Triathlon Championship Series Abu Dhabi,WTCS,2025-02-15,Germany,1,Henry Graf | Jan Diener | Selina Klamt | Tanja Neubert,2,2,3,1,2,2.6666666666666665,4,1,1,5.5,0.775891420232093,True,False,False,False,False
194195,671091,2025 World Triathlon Championship Series Abu Dhabi,WTCS,2025-02-15,United States,2,Erika Ackerlund | John Reed | Morgan Pearson | Taylor Spivey,2,2,4,4,4,1.5,4,0,0,10.5,0.702342058891923,True,True,True,False,False
194195,671091,2025 World Triathlon Championship Series Abu Dhabi,WTCS,2025-02-15,Italy,3,Alice Betto | Bianca Seregni | Euan De Nigro | Nicola Azzano,2,2,2,2,2,1.5,4,1,2,5.25,0.7347224046277014,True,False,False,False,False
194195,671091,2025 World Triathlon Championship Series Abu Dhabi,WTCS,2025-02-15,Spain,4,Anna Godoy Contreras | David Cantero Del Campo | Miriam Casillas García | Roberto Sanchez Mantecon,2,2,4,4,4,1.5,4,1,2,11.5,0.6532218206515659,False,True,True,False,False
194195,671091,2025 World Triathlon Championship Series Abu Dhabi,WTCS,2025-02-15,Netherlands,5,Barbara De Koning | Gjalt Panjer | Luna De Bruin | Mitch Kolkman,2,2,4,4,4,1.5,4,0,0,5.75,0.6718483486026308,False,True,True,False,False
194195,671091,2025 World Triathlon Championship Series Abu Dhabi,WTCS,2025-02-15,Japan,7,Kanae Takenaka | Kazushi Jozuka | Kenji Nener | Mako Hiraizumi,2,2,4,4,4,1.5,4,1,3,4.5,0.813775902432054,False,True,True,False,False
194195,671091,2025 World Triathlon Championship Series Abu Dhabi,WTCS,2025-02-15,Ireland,8,Erin McConnell | Hollie Elliott | James Edgar | Russell White,2,2,1,1,1,1.0,4,2,2,2.75,0.5542220059187443,False,False,False,False,False
184438,634474,2024 Europe Triathlon Sprint and Relay Championships Balikesir,World Championship Level,2024-08-09,Italy,1,Carlotta Missaglia | Euan De Nigro | Nicola Azzano | Sharon Spimi,2,2,4,4,4,1.5,4,0,0,10.75,0.6450677243779739,True,True,True,False,False
184438,634474,2024 Europe Triathlon Sprint and Relay Championships Balikesir,World Championship Level,2024-08-09,Germany,2,Eric Diener | Jan Diener | Julia Bröcker | Marlene Gomez-Göggel,2,2,4,4,4,1.5,4,0,1,7.25,0.7270651999461153,True,True,True,False,False
184438,634474,2024 Europe Triathlon Sprint and Relay Championships Balikesir,World Championship Level,2024-08-09,Great Britain,3,Bethany Cook | Hamish Reilly | Libby Coleman | Marcus Dey,2,2,4,4,4,1.5,3,0,0,10.666666666666666,0.7459889919386256,True,True,True,False,False
184438,634474,2024 Europe Triathlon Sprint and Relay Championships Balikesir,World Championship Level,2024-08-09,France,4,Ilona Hadhoum | Jules Rethoret | Sandra Dodet | Valentin Morlec,2,2,4,4,4,1.5,4,0,1,10.0,0.7852749210699346,False,True,True,False,False
184438,634474,2024 Europe Triathlon Sprint and Relay Championships Balikesir,World Championship Level,2024-08-09,Hungary,5,Gergely Kiss | Márk Dévay | Zsanett Kuttor-Bragmayer | Zsófia Kovács,2,2,2,2,2,1.0,4,2,3,2.75,0.639987590299086,False,False,False,False,False
184438,634474,2024 Europe Triathlon Sprint and Relay Championships Balikesir,World Championship Level,2024-08-09,Spain,6,Eduardo Blanco Mollá | Genis Grau | Noelia Juan | Sara Guerrero Manso,2,2,4,3,3,2.0,4,0,0,14.25,0.5929964076431142,False,False,False,False,False
