feature,ranker_lgbm,ranker_xgb,pct_total,reg_total,reg_swim,reg_bike,reg_run,middle_distance_swim,middle_distance_t1,middle_distance_bike,middle_distance_t2,middle_distance_run,middle_distance_swim_exit_pct,middle_distance_total,sprint_swim,sprint_t1,sprint_bike,sprint_t2,sprint_run,sprint_swim_exit_pct,sprint_total,standard_swim,standard_t1,standard_bike,standard_t2,standard_run,standard_swim_exit_pct,standard_total,super_sprint_swim,super_sprint_t1,super_sprint_bike,super_sprint_t2,super_sprint_run,super_sprint_swim_exit_pct,super_sprint_total,mean_pct,max_pct
ema_total_sec_5,0.8752244165170557,0.5108743522433402,0.6788866259334692,2.548853016142736,1.9214273460284783,2.330801104972376,2.0641803989592367,1.0011778563015312,0.8690928843020097,2.2172949002217295,1.4705882352941175,1.728395061728395,1.2987012987012987,4.334677419354839,2.754315093646713,2.279305354558611,2.9113690805233094,1.811659192825112,2.714847406852649,1.7037302725968435,6.694915254237288,2.6165011459129106,2.070949185043145,2.246130615326538,1.9261637239165328,2.055060100814269,1.335559265442404,3.673798950343157,1.046176046176046,0.7399577167019027,0.9916094584286803,0.4567948229920061,0.7592190889370932,1.795212765957447,1.7267267267267266,1.9474336052759997,6.694915254237288
avg_bike_gap_leader,1.088420107719928,0.5544792949825226,0.7298031228784794,0.6966864910790145,0.686224052153028,1.2430939226519337,0.9540329575021683,3.239104829210836,3.09614340032591,3.1042128603104215,3.6764705882352944,3.0246913580246915,2.1103896103896105,0.6048387096774194,1.7994858611825193,1.4652677279305355,2.450709415883545,1.5964125560538116,2.6961243212881483,2.5107604017216643,1.2711864406779663,1.566080977845684,1.5340364333652923,1.868629671574179,1.6653290529695024,2.016285381930981,1.4839547393804489,1.3322567622123538,2.922077922077922,2.1846370683579983,3.3562166285278416,1.674914350970689,2.458423716558207,3.7566489361702127,1.4264264264264264,1.9384130313784913,3.7566489361702127
ema_swim_to_t1_pos_change_5,1.5821364452423696,0.4400583986109191,1.2219959266802443,0.4587935429056924,0.39457882998799104,0.5179558011049723,0.6938421509106678,2.7679623085983507,2.8245518739815316,2.827050997782705,2.2058823529411766,2.5925925925925926,3.4090909090909087,1.0080645161290323,1.6158648549394052,1.410998552821997,1.7689331122166942,1.3811659192825112,1.834862385321101,2.2417503586800573,2.2033898305084745,1.7188693659281895,1.3806327900287632,1.5100037750094375,1.4245585874799358,2.384645211322218,2.337228714524207,1.6552280985062575,2.922077922077922,2.9245947850599014,1.9832189168573606,3.730491054434716,2.458423716558207,3.490691489361702,2.1021021021021022,1.9264082339880098,3.730491054434716
ema_t2_rank_pct_5,1.436265709156194,0.4407816171678555,1.3238289205702647,0.5947323704333051,0.2916452221650369,0.5006906077348067,0.9540329575021683,2.4734982332155475,2.1727322107550244,1.7184035476718404,2.997737556561086,4.074074074074074,2.380952380952381,1.2096774193548387,1.3037091443261108,1.248191027496382,1.4925373134328357,2.1704035874439462,2.115708668788616,2.187948350071736,1.1864406779661016,1.3368983957219251,1.2272291466922338,2.1706304265760665,2.909309791332263,2.3070957735556417,2.559821925431274,1.1707710940654017,2.380952380952381,3.347427766032417,2.593440122044241,3.197563760944042,1.8799710773680405,3.956117021276596,1.5765765765765765,1.91107991015455,4.074074074074074
ema_t1_rank_pct_5,1.4138240574506284,0.45641908224041494,1.1371350984385609,0.44180118946474084,0.514668039114771,0.3453038674033149,0.849956634865568,2.4146054181389873,2.9875067897881586,1.7184035476718404,2.3755656108597285,3.45679012345679,2.326839826839827,1.2096774193548387,1.4138817480719794,1.6823444283646887,1.658374792703151,1.5246636771300448,2.1718779254821197,2.259684361549498,0.8050847457627118,1.5087853323147442,2.1860019175455414,1.5855039637599093,2.106741573033708,2.1907716169057774,1.7807456872565388,1.0496568429551878,3.2106782106782106,3.629316420014094,2.402745995423341,2.6646364674533687,2.74765003615329,3.6901595744680855,2.7027027027027026,1.9034429921376248,3.6901595744680855
ema_perf_ratio_5,1.1333034111310594,0.4801710679037039,1.0353021045485404,0.6117247238742566,0.514668039114771,0.6388121546961326,0.5203816131830009,1.2956419316843346,2.009777294948398,2.9379157427937916,1.6402714932126699,2.8395061728395063,1.461038961038961,2.4193548387096775,1.3955196474476679,1.248191027496382,1.5662428597751983,1.2914798206278029,1.891031642014604,1.883070301291248,1.4830508474576272,1.241405653170359,1.2272291466922338,1.793129482823707,1.3443017656500804,1.996898022489337,2.207382674828418,1.6955995155429955,3.318903318903319,2.854122621564482,4.919908466819222,2.436239055957366,4.3022415039768624,3.856382978723404,3.078078078078078,1.9019507994574054,4.919908466819222
ema_bike_sec_5,0.763016157989228,0.415116555207186,0.8995247793618466,1.2064570943075617,1.4410705095213587,1.571132596685083,1.2489158716392021,2.4734982332155475,1.4122759369907658,2.549889135254989,3.0542986425339365,1.6049382716049383,1.6774891774891776,2.82258064516129,2.350348879911862,1.8451519536903038,2.837663534180947,2.2242152466367715,2.3403856955626288,1.6499282639885222,3.855932203389831,1.8143621084797557,1.821668264621285,2.2838807097017746,1.5248796147672552,1.8030244280728964,1.7992951214987944,2.5030278562777553,1.046176046176046,1.127554615926709,1.9450800915331807,1.3703844689760183,1.2653651482284887,1.6289893617021278,0.45045045045045046,1.789370504878158,3.855932203389831
ema_swim_split_pct_12,0.7517953321364452,0.4016562429522818,0.5261371350984385,0.6457094307561597,0.9778692743180649,0.3453038674033149,1.023417172593235,3.121319199057715,1.3579576317218904,3.159645232815964,2.6018099547511313,2.345679012345679,3.3008658008658007,1.6129032258064515,1.9831068674256336,0.759768451519537,0.9950248756218906,1.2197309417040358,1.5540161018535856,2.3672883787661405,0.7203389830508474,1.8907563025210083,0.9012464046021093,1.3023782559456398,1.3242375601926164,1.7642497091896086,2.5412724911890185,1.9781994348001615,2.1645021645021645,1.7618040873854828,2.517162471395881,1.598781880472021,1.735357917570499,2.6595744680851063,2.7777777777777777,1.6768184010912381,3.3008658008658007
ema_t1t2_sec_5,0.9874326750448833,0.39278134403329173,1.1880515953835709,0.713678844519966,0.8063132612798078,0.36256906077348067,0.7458803122289679,2.8268551236749118,2.2813688212927756,1.6075388026607538,2.771493212669683,1.2962962962962963,1.5692640692640691,1.5120967741935485,1.2853470437017995,1.4290882778581766,1.7136539524599224,1.5426008968609866,1.6663546152405915,1.6499282639885222,2.330508474576271,1.757066462948816,1.955896452540748,1.7176292940732352,2.166934189406099,1.7254749903063205,1.5581524763494714,1.8570851836899476,1.2987012987012987,1.9027484143763214,1.8306636155606408,2.893033878949372,2.8199566160520604,1.7619680851063828,2.177177177177177,1.6600454243782903,2.893033878949372
ema_swim_behind_sec_5,0.8752244165170557,0.5849823449653997,1.001357773251867,0.3738317757009346,0.514668039114771,0.4488950276243094,0.5377276669557676,4.7114252061248525,1.6838674633351438,2.161862527716186,1.3009049773755657,1.6666666666666667,2.813852813852814,2.318548387096774,1.2486228424531767,0.9044862518089725,1.1792887414777962,1.1659192825112108,1.9284778131436062,1.4526542324246772,0.9745762711864407,1.2987012987012987,1.3039309683604985,1.2835032087580218,1.4044943820224718,1.5122140364482357,2.058987200890373,1.5744852644327816,1.8037518037518037,2.149400986610289,2.0213577421815407,1.4845831747240197,2.5668835864063633,3.324468085106383,4.2792792792792795,1.654682329685067,4.7114252061248525
