==========================================================================================
Bundle: models/bundle_elite_v56.joblib  (version: v1.0)
  106 full features, 64 split features
==========================================================================================
             field_elo_gap_to_top10    0.71%
                    ema_swim_pack_7    0.71%
                       ema_t1_sec_5    0.69%
                       h2h_win_rate    0.67%
                    std_run_sec_24m    0.66%
           n_athletes_within_50_elo    0.66%
                 ema_swim_pos_pct_7    0.66%
        ema_bike_to_t2_pos_change_5    0.66%
                   ema_perf_ratio_5    0.64%
                  std_total_sec_24m    0.62%
                     n_swim_results    0.60%
h2h_avg_position_gap_vs_field_top10    0.60%
                    ema_bike_pack_7    0.60%

--- reg_run  (top 40) ---
                      feature reg_run
    distance_category_encoded   5.27%
              temperature_air   4.70%
       field_depth_top10_mean   4.68%
                         wbgt   4.16%
                     humidity   3.69%
                ema_run_sec_5   3.24%
                   n_entrants   3.23%
                   elo_rating   2.67%
        field_elo_gap_to_top3   2.06%
              ema_total_sec_5   2.06%
          ema_run_split_pct_5   1.84%
                    bike_laps   1.70%
               ema_swim_sec_5   1.67%
         days_since_last_race   1.54%
                    elo_races   1.39%
              std_run_sec_24m   1.32%
               ema_bike_sec_5   1.25%
field_finish_pct_gap_to_top10   1.21%
                     run_laps   1.20%
                 ema_t2_sec_5   1.16%
            std_total_sec_24m   1.14%
                     elo_peak   1.09%
         ema_bike_split_pct_5   1.09%
                   event_tier   1.08%
        ema_swim_split_pct_12   1.02%
       field_elo_gap_to_top10   1.01%
        h2h_n_opponents_faced   0.99%
                 h2h_win_rate   0.95%
            ema_t2_rank_pct_5   0.95%
          avg_bike_gap_leader   0.95%
             wt_rank_position   0.94%
 h2h_n_unknown_field_athletes   0.94%
             std_bike_sec_24m   0.92%
            ema_t1_rank_pct_5   0.85%
              ema_bike_pack_7   0.85%
         min_swim_gap_sec_24m   0.83%
                 ema_t1_sec_5   0.82%
       ema_swim_behind_sec_12   0.80%
    n_athletes_within_100_elo   0.80%
     n_athletes_within_50_elo   0.80%

--- middle_distance_swim  (top 40) ---
                    feature middle_distance_swim
     field_depth_top10_mean               10.42%
      ema_swim_behind_sec_5                4.71%
               ema_t1_sec_5                4.42%
       days_since_last_race                4.24%
       ema_swim_split_pct_5                3.95%
               ema_t2_sec_5                3.53%
              ema_run_sec_5                3.30%
        avg_bike_gap_leader                3.24%
      ema_swim_split_pct_12                3.12%
        p90_swim_gap_leader                3.00%
            n_races_at_tier                2.83%
             ema_t1t2_sec_5                2.83%
ema_swim_to_t1_pos_change_5                2.77%
     ema_swim_behind_sec_12                2.65%
     seed_total_gap_to_best                2.65%
             ema_bike_sec_5                2.47%
          ema_t2_rank_pct_5                2.47%
          ema_t1_rank_pct_5                2.41%
       ema_bike_split_pct_5                2.36%
             ema_swim_sec_5                2.24%
       min_swim_gap_sec_24m                1.83%
            swim_form_trend                1.65%
       std_swim_gap_sec_24m                1.65%
      ema_finish_pct_tier34                1.59%
            std_run_sec_24m                1.53%
        ema_run_split_pct_5                1.53%
ema_bike_to_t2_pos_change_5                1.41%
           ema_perf_ratio_5                1.30%
           ema_finish_pct_5                1.24%
              form_momentum                1.12%
        avg_swim_gap_leader                1.00%
            ema_total_sec_5                1.00%
           ema_finish_pct_3                0.94%
           std_bike_pct_24m                0.94%
         ema_distance_match                0.94%
      ema_finish_pct_sprint                0.94%
           std_swim_sec_24m                0.88%
           std_t1t2_sec_24m                0.82%
             bike_pack_rate                0.77%
ema_bike_split_pct_tier12_5                0.77%

--- middle_distance_t1  (top 40) ---
                    feature middle_distance_t1
     field_depth_top10_mean             13.31%
       days_since_last_race              5.38%
       ema_bike_split_pct_5              4.78%
        avg_bike_gap_leader              3.10%
          ema_t1_rank_pct_5              2.99%
            n_races_at_tier              2.99%
             n_swim_results              2.99%
               ema_t1_sec_5              2.99%
ema_swim_to_t1_pos_change_5              2.82%
        ema_run_split_pct_5              2.77%
ema_bike_to_t2_pos_change_5              2.61%
            swim_form_trend              2.55%
             ema_t1t2_sec_5              2.28%
              ema_run_sec_5              2.28%
               ema_t2_sec_5              2.28%
          ema_t2_rank_pct_5              2.17%
             ema_swim_sec_5              2.12%
             bike_pack_rate              2.01%
           ema_perf_ratio_5              2.01%
        avg_swim_gap_leader              1.96%
     seed_total_gap_to_best              1.96%
      ema_swim_behind_sec_5              1.68%
                 form_trend              1.63%
              form_momentum              1.63%
        p90_swim_gap_leader              1.52%
             ema_bike_sec_5              1.41%
 ema_run_split_pct_tier12_5              1.41%
       std_swim_gap_sec_24m              1.36%
      ema_swim_split_pct_12              1.36%
       min_swim_gap_sec_24m              1.25%
       ema_swim_split_pct_5              1.25%
           std_bike_sec_24m              1.20%
       ema_finish_pct_tier1              1.14%
           std_bike_pct_24m              1.03%
                  races_12m              0.98%
ema_swim_split_pct_tier12_5              0.92%
     ema_swim_behind_sec_12              0.87%
      ema_finish_pct_sprint              0.87%
           std_swim_pct_24m              0.87%
            ema_total_sec_5              0.87%

--- middle_distance_bike  (top 40) ---
                    feature middle_distance_bike
     field_depth_top10_mean                9.81%
       days_since_last_race                4.77%
             ema_swim_sec_5                3.82%
       ema_swim_split_pct_5                3.77%
ema_bike_to_t2_pos_change_5                3.55%
       ema_bike_split_pct_5                3.33%
            n_races_at_tier                3.22%
      ema_swim_split_pct_12                3.16%
     seed_total_gap_to_best                3.16%
        avg_bike_gap_leader                3.10%
           ema_perf_ratio_5                2.94%
