feature,ranker_lgbm,ranker_xgb,pct_total,reg_total,reg_swim,reg_bike,reg_run,middle_distance_swim,middle_distance_t1,middle_distance_bike,middle_distance_t2,middle_distance_run,middle_distance_total,sprint_swim,sprint_t1,sprint_bike,sprint_t2,sprint_run,sprint_total,standard_swim,standard_t1,standard_bike,standard_t2,standard_run,standard_total,super_sprint_swim,super_sprint_t1,super_sprint_bike,super_sprint_t2,super_sprint_run,super_sprint_total,mean_pct,max_pct
avg_swim_gap_leader,0.6903462866050551,0.6496668938246133,0.8271438217420662,0.4853527474432311,1.0,0.37735849056603776,0.6564939673527325,1.930953774136922,2.671118530884808,1.1273957158962795,2.7167630057803467,1.1473429951690821,6.460674157303371,1.7611447440836543,1.1057869517139698,1.3217454282093066,1.084010840108401,1.3361328497804925,2.1615472127417523,1.4614614614614614,1.2465913517724971,1.186887716654107,1.1027963765261914,1.3576494427558257,1.7581628991747398,3.8787023977433006,2.667602667602668,3.5020936429387133,2.762645914396887,2.1367521367521367,4.022277227722772,1.825632311253014,6.460674157303371
p90_swim_gap_leader,1.1357309876405746,0.7570226768756269,0.8271438217420662,0.36401456058242326,1.1206896551724137,0.4802744425385935,0.7984386089425125,5.032182562902282,2.058987200890373,1.5219842164599773,2.3699421965317917,1.328502415458937,2.6217228464419478,1.9079068060906257,1.6955399926280872,1.3036393264530146,1.3911472448057813,1.546096583317427,1.023890784982935,2.3223223223223224,0.7791195948578107,1.2434061793519218,1.3784954706577393,1.6210739614994936,1.5787585217079296,2.8208744710860367,1.9656019656019657,3.0452988199467073,3.268482490272374,2.386039886039886,2.103960396039604,1.7354287422529417,5.032182562902282
seed_total_gap_to_best,1.3138848680547823,0.6129590026225642,1.0297096556380825,0.4853527474432311,0.39655172413793105,0.4974271012006861,0.8516678495386799,1.4043300175541251,2.225932109070673,3.8895152198421648,1.4450867052023122,3.985507246376811,0.7490636704119851,1.522656393322326,1.1610762992996684,1.5752308527973928,1.969286359530262,1.6224470318763122,1.6685627607129314,1.8418418418418416,1.8309310479158551,1.5071590052750565,2.2449783379283184,1.7831813576494426,1.6505202726946537,3.0324400564174896,1.7901017901017902,1.9033117624666922,2.5680933852140075,2.4572649572649574,1.9801980198019802,1.7095570790066132,3.985507246376811
ema_t1t2_sec_5,0.9575771072263668,0.5217903967435555,1.0803511141120865,0.7280291211648465,0.6551724137931034,0.5488850771869639,0.99361249112846,1.579871269748391,2.7824151363383414,1.5783540022547913,1.907514450867052,1.3888888888888888,1.4981273408239701,1.6694184553292974,1.6218208625138224,1.6838674633351438,1.8066847335140017,2.0614621110899027,2.009859689040576,1.941941941941942,2.2010128554733153,1.3941220798794274,2.0086648286727056,2.2087132725430596,2.4757804090419806,1.5867418899858956,2.492102492102492,1.4084507042253522,2.9571984435797662,2.6709401709401708,2.1658415841584158,1.6962971870207766,2.9571984435797662
ema_finish_pct_sprint,1.7258657165126379,0.5666869412787185,1.7555705604321403,0.5026867741376322,0.27586206896551724,0.44596912521440824,0.8516678495386799,1.0532475131655938,1.279910962715637,0.9582863585118376,0.8670520231213872,0.7246376811594203,1.4044943820224718,0.8805723720418271,0.8293402137854773,0.8871989860583016,0.7588075880758808,0.7635044855888529,1.5168752370117558,1.8418418418418416,1.3439813011297235,1.6201959306706857,1.8905080740448994,2.9787234042553195,2.0810907786149984,2.538787023977433,3.159003159003159,4.6821469356680625,3.268482490272374,3.5256410256410255,4.888613861386139,1.6731371827691561,4.888613861386139
min_swim_gap_sec_24m,0.3451731433025276,0.49038880878071595,0.337609723160027,0.5026867741376322,0.7413793103448276,0.44596912521440824,0.7806955287437899,3.978935049736688,1.05731775180857,1.4092446448703495,1.560693641618497,1.3888888888888888,1.5917602996254683,2.109704641350211,0.9399189089568744,1.249321021184139,1.3008130081300813,1.4697461347585417,1.099734546833523,1.0610610610610611,1.3245033112582782,0.8666164280331574,1.476959432847578,1.3779128672745693,1.7222820236813776,2.6445698166431595,1.9305019305019304,2.322040350209364,2.4513618677042803,2.1723646723646723,0.7425742574257426,1.3836364184016432,3.978935049736688
std_swim_gap_sec_24m,0.8350963144415989,0.591582310056442,0.9959486833220796,0.7280291211648465,0.7068965517241379,0.5145797598627788,0.9758694109297373,2.399063779988297,2.2815804117974405,1.4092446448703495,1.0404624277456647,1.1473429951690821,0.18726591760299627,1.7244542285819116,1.4928123848138592,1.539018649284809,1.3008130081300813,1.7369727047146404,0.26545316647705725,1.4014014014014013,1.090767432800935,1.6578749058025624,1.7132729421031903,1.9452887537993921,0.7534983853606028,2.0451339915373765,2.211302211302211,1.8271792919680243,2.9571984435797662,2.8846153846153846,0.0,1.3664522456435053,2.9571984435797662
bike_pack_rate,1.1691348402182384,0.5851655909663287,0.9284267386900743,0.20800832033281333,0.27586206896551724,0.3602058319039451,0.5322924059616749,1.6968987712112347,2.058987200890373,1.3528748590755355,1.1560693641618496,0.8454106280193237,2.153558052434457,0.7705008255365988,0.8109104312569112,0.9053050878145934,0.8672086720867209,1.2979576255010499,1.9719378081152827,0.8408408408408409,1.0323334631865992,1.2057272042200453,0.9649468294604175,1.2360688956433636,2.4398995335486187,1.9393511988716503,1.5795015795015794,1.2561857632280167,2.217898832684825,1.566951566951567,2.1658415841584158,1.2384600779173693,2.4398995335486187
ema_run_split_pct_tier12_5,1.2582117804253425,0.6579313568115589,1.198514517218096,0.34668053388802217,0.4655172413793103,0.42881646655231564,0.42583392476933996,1.3458162668227034,1.5581524763494714,0.9019165727170236,1.907514450867052,1.6908212560386473,2.247191011235955,0.5136672170243992,0.5160339107998526,0.5793952562013398,0.6865401987353207,1.546096583317427,0.8342813803564657,0.7807807807807807,0.9933774834437087,0.9608138658628486,0.669554942890902,1.702127659574468,0.8611410118406888,1.7277856135401977,4.212004212004212,0.5709935287400076,0.8171206225680935,1.8162393162393164,1.1138613861386137,1.1398300911333386,4.212004212004212
ema_finish_pct_tier34,1.569981071150206,1.0448414316618855,0.7933828494260634,0.22534234702721442,0.3448275862068966,0.42881646655231564,0.28388928317955997,0.7606787595084844,1.613800779076238,2.142051860202931,2.0809248554913293,1.328502415458937,0.2808988764044944,0.7888460832874702,0.7556210836712126,0.9415172913271772,1.029810298102981,1.1070815041038367,0.6067500948047023,1.2812812812812813,1.4024152707440591,1.2434061793519218,1.1224891689641592,1.479229989868288,1.0405453893074992,1.6572637517630464,2.4219024219024217,0.7613247049866768,2.490272373540856,1.745014245014245,0.0,1.121700313334464,2.490272373540856
ema_bike_split_pct_tier12_5,1.1802694577441266,0.7992047422026737,1.1478730587440917,0.4333506673600277,0.3448275862068966,0.42881646655231564,0.47906316536550747,1.3458162668227034,1.279910962715637,1.5783540022547913,0.8670520231213872,6.823671497584541,2.715355805243446,0.3485598972665566,0.4054552156284556,0.7785623755205504,0.5962059620596206,0.6680664248902463,0.6067500948047023,1.0410410410410411,1.168679392286716,1.1680482290881689,1.0240252067743205,0.8915906788247213,1.2199497667743093,0.9873060648801129,1.333801333801334,0.49486105824133997,0.4669260700389105,0.9971509971509971,0.6188118811881188,1.104495399747689,6.823671497584541
ema_finish_pct_12,0.9909809598040307,0.5172491283955017,0.9790681971640782,0.5200208008320333,0.5,0.8404802744425386,0.5677785663591199,0.4681100058513751,1.279910962715637,2.0856820744081173,1.2138728323699421,3.321256038647343,0.6554307116104869,0.9722986607961842,0.6266126059712496,1.0501539018649284,0.7407407407407408,1.01164344340523,1.6306408797876375,1.001001001001001,0.7401636151149201,1.092690278824416,0.9058684521465145,1.1752786220871327,2.2963760315751705,0.7404795486600846,1.5795015795015794,0.6851922344880091,1.245136186770428,1.1752136752136753,1.3613861386138615,1.0958134886826765,3.321256038647343
