event_id,prog_id,athlete_id,full_name,country,finish_status,finish_position,swimtime,t1time,biketime,t2time,runtime,total_time,prog_name,prog_distance_category,event_name,event_date,cat_name,swim_distance,bike_distance,run_distance,swimtime_sec,t1time_sec,biketime_sec,t2time_sec,runtime_sec,total_time_sec,para_subclass,time_factor_sec,time_factor_year,time_factor_applied,swimtime_sec_adjusted,total_time_sec_adjusted,sum_splits_sec,total_time_sec_raw,swimtime_sec_raw,time_factor_segment_sec,distance_panel,swim_pace_s_per_100m,bike_pace_s_per_km,run_pace_s_per_km,bike_speed_kmh,bike_speed_mph,total_time_fmt,event_label,swimtime_sec_outlier,bike_speed_kmh_outlier,biketime_sec_outlier,bike_pace_s_per_km_outlier,t1time_sec_outlier,swim_pace_s_per_100m_outlier,run_pace_s_per_km_outlier,t2time_sec_outlier,runtime_sec_outlier
163485,545441,72818,Stefan Daniel,Canada,FINISH,1.0,00:11:10,00:00:57,00:31:23,00:00:45,00:16:21,01:00:37,PTS5 Men,sprint,2022 World Triathlon Para Cup A Coruna,2022-06-19,World Para Cup,750.0,20800.0,5050.0,670.0,57.0,1883.0,45.0,981.0,3637.0,,,,False,670.0,3637.0,3636.0,3636.0,670.0,1.0,Sprint,89.33333333333333,90.52884615384615,194.25742574257427,39.76633032395114,24.709644439723842,1:00:37,2022 World Triathlon Para Cup A Coruna,False,False,False,False,False,False,False,False,False
163485,545441,132155,Ronan Cordeiro,Brazil,FINISH,5.0,00:11:12,00:00:47,00:31:47,00:00:55,00:18:45,01:03:28,PTS5 Men,sprint,2022 World Triathlon Para Cup A Coruna,2022-06-19,World Para Cup,750.0,20800.0,5050.0,672.0,47.0,1907.0,55.0,1125.0,3808.0,,,,False,672.0,3808.0,3806.0,3806.0,672.0,2.0,Sprint,89.6,91.6826923076923,222.77227722772278,39.26586261143157,24.398668316727846,1:03:28,2022 World Triathlon Para Cup A Coruna,False,False,False,False,False,False,False,False,False
166221,553012,72818,Stefan Daniel,Canada,FINISH,1.0,00:10:02,00:00:39,00:31:27,00:00:38,00:16:27,00:59:10,PTS5 Men,Sprint,2022 World Triathlon Para Series Montreal,2022-07-08,World Para Series,750.0,22500.0,5000.0,602.0,39.0,1887.0,38.0,987.0,3550.0,,,,False,602.0,3550.0,3553.0,3553.0,602.0,-3.0,Sprint,80.26666666666667,83.86666666666666,197.4,42.925278219395864,26.67252305246423,59:10,2022 World Triathlon Para Series Montreal,False,False,False,False,False,False,False,False,False
166221,553012,69962,Chris Hammer,United States,FINISH,2.0,00:11:07,00:01:00,00:31:30,00:00:36,00:16:03,01:00:13,PTS5 Men,Sprint,2022 World Triathlon Para Series Montreal,2022-07-08,World Para Series,750.0,22500.0,5000.0,667.0,60.0,1890.0,36.0,963.0,3613.0,,,,False,667.0,3613.0,3616.0,3616.0,667.0,-3.0,Sprint,88.93333333333334,84.0,192.6,42.857142857142854,26.630185714285712,1:00:13,2022 World Triathlon Para Series Montreal,False,False,False,False,False,False,False,False,False
166221,553012,132155,Ronan Cordeiro,Brazil,FINISH,5.0,00:10:08,00:00:42,00:32:49,00:00:33,00:17:38,01:01:47,PTS5 Men,Sprint,2022 World Triathlon Para Series Montreal,2022-07-08,World Para Series,750.0,22500.0,5000.0,608.0,42.0,1969.0,33.0,1058.0,3707.0,,,,False,608.0,3707.0,3710.0,3710.0,608.0,-3.0,Sprint,81.06666666666666,87.5111111111111,211.6,41.13763331640426,25.561732351447432,1:01:47,2022 World Triathlon Para Series Montreal,False,False,False,False,False,False,False,False,False
163477,546895,132155,Ronan Cordeiro,Brazil,FINISH,5.0,00:09:53,00:00:59,00:31:19,00:00:38,00:17:32,01:00:18,PTS5 Men,sprint,2022 World Triathlon Para Series Swansea,2022-08-06,World Para Series,750.0,19500.0,5000.0,593.0,59.0,1879.0,38.0,1052.0,3618.0,,,,False,593.0,3618.0,3621.0,3621.0,593.0,-3.0,Sprint,79.06666666666666,96.35897435897436,210.4,37.36029803086748,23.214605747738158,1:00:18,2022 World Triathlon Para Series Swansea,False,False,False,False,False,False,False,False,False
163477,546895,96432,Bence Mocsari,Hungary,FINISH,12.0,00:11:10,00:00:57,00:31:10,00:00:43,00:20:38,01:04:37,PTS5 Men,sprint,2022 World Triathlon Para Series Swansea,2022-08-06,World Para Series,750.0,19500.0,5000.0,670.0,57.0,1870.0,43.0,1238.0,3877.0,,,,False,670.0,3877.0,3878.0,3878.0,670.0,-1.0,Sprint,89.33333333333333,95.8974358974359,247.6,37.54010695187166,23.326333796791445,1:04:37,2022 World Triathlon Para Series Swansea,False,False,False,False,False,False,False,False,False
163477,546895,72818,Stefan Daniel,Canada,FINISH,1.0,00:09:51,00:01:03,00:29:19,00:00:37,00:16:08,00:56:55,PTS5 Men,sprint,2022 World Triathlon Para Series Swansea,2022-08-06,World Para Series,750.0,19500.0,5000.0,591.0,63.0,1759.0,37.0,968.0,3415.0,,,,False,591.0,3415.0,3418.0,3418.0,591.0,-3.0,Sprint,78.8,90.2051282051282,193.6,39.90903922683343,24.798319613416716,56:55,2022 World Triathlon Para Series Swansea,False,False,False,False,False,False,False,False,False
164701,550719,56517,Martin Schulz,Germany,FINISH,1.0,00:11:10,00:00:58,00:29:53,00:00:50,00:17:09,00:59:58,PTS5 Men,sprint,2022 World Triathlon Para Cup Alanya,2022-10-15,World Para Cup,,,,670.0,58.0,1793.0,50.0,1029.0,3598.0,,,,False,670.0,3598.0,3600.0,3600.0,670.0,-2.0,Sprint,,,,,,59:58,2022 World Triathlon Para Cup Alanya,False,False,False,False,False,False,False,False,False
184628,560528,72818,Stefan Daniel,Canada,FINISH,1.0,00:10:48,00:01:08,00:29:41,00:00:46,00:16:03,00:58:24,PTS5 Men,sprint,2022 World Triathlon Para Championships Abu Dhabi,2022-11-24,World Championships,750.0,20002.0,5000.0,648.0,68.0,1781.0,46.0,963.0,3504.0,,,,False,648.0,3504.0,3506.0,3506.0,648.0,-2.0,Sprint,86.4,89.04109589041096,192.6,40.43076923076923,25.12250750769231,58:24,2022 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
