event_id,prog_id,athlete_id,full_name,country,finish_status,finish_position,swimtime,t1time,biketime,t2time,runtime,total_time,prog_name,prog_distance_category,event_name,event_date,cat_name,swim_distance,bike_distance,run_distance,swimtime_sec,t1time_sec,biketime_sec,t2time_sec,runtime_sec,total_time_sec,para_subclass,time_factor_sec,time_factor_year,time_factor_applied,swimtime_sec_adjusted,total_time_sec_adjusted,sum_splits_sec,total_time_sec_raw,swimtime_sec_raw,time_factor_segment_sec,distance_panel,swim_pace_s_per_100m,bike_pace_s_per_km,run_pace_s_per_km,bike_speed_kmh,bike_speed_mph,total_time_fmt,event_label,biketime_sec_outlier,bike_speed_kmh_outlier,t1time_sec_outlier,bike_pace_s_per_km_outlier,t2time_sec_outlier,swim_pace_s_per_100m_outlier,runtime_sec_outlier,run_pace_s_per_km_outlier,swimtime_sec_outlier
164701,550717,98284,Max Gelhaar,Germany,FINISH,3.0,00:12:33,00:01:25,00:36:06,00:01:00,00:24:33,01:15:36,PTS3 Men,sprint,2022 World Triathlon Para Cup Alanya,2022-10-15,World Para Cup,,,,753.0,85.0,2166.0,60.0,1473.0,4536.0,,,,False,753.0,4536.0,4537.0,4537.0,753.0,-1.0,Sprint,,,,,,1:15:36,2022 World Triathlon Para Cup Alanya,False,False,False,False,False,False,False,False,False
164701,550717,141553,Cedric Denuziere,France,FINISH,5.0,00:14:49,00:01:26,00:37:16,00:01:02,00:24:03,01:18:33,PTS3 Men,sprint,2022 World Triathlon Para Cup Alanya,2022-10-15,World Para Cup,,,,889.0,86.0,2236.0,62.0,1443.0,4713.0,,,,False,889.0,4713.0,4716.0,4716.0,889.0,-3.0,Sprint,,,,,,1:18:33,2022 World Triathlon Para Cup Alanya,False,False,False,False,False,False,False,False,False
164701,550717,58157,Daniel Molina,Spain,FINISH,1.0,00:11:49,00:01:47,00:35:27,00:01:02,00:20:48,01:10:51,PTS3 Men,sprint,2022 World Triathlon Para Cup Alanya,2022-10-15,World Para Cup,,,,709.0,107.0,2127.0,62.0,1248.0,4251.0,,,,False,709.0,4251.0,4253.0,4253.0,709.0,-2.0,Sprint,,,,,,1:10:51,2022 World Triathlon Para Cup Alanya,False,False,False,False,False,False,False,False,False
184628,560526,133006,Nico Van Der Burgt,Netherlands,FINISH,2.0,00:10:56,00:01:53,00:34:21,00:01:11,00:22:34,01:10:53,PTS3 Men,sprint,2022 World Triathlon Para Championships Abu Dhabi,2022-11-24,World Championships,750.0,20002.0,5000.0,656.0,113.0,2061.0,71.0,1354.0,4253.0,,,,False,656.0,4253.0,4255.0,4255.0,656.0,-2.0,Sprint,87.46666666666667,103.03969603039697,270.8,34.93799126637554,21.709454571179037,1:10:53,2022 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
184628,560526,58157,Daniel Molina,Spain,FINISH,1.0,00:10:49,00:01:46,00:34:41,00:01:26,00:21:56,01:10:35,PTS3 Men,sprint,2022 World Triathlon Para Championships Abu Dhabi,2022-11-24,World Championships,750.0,20002.0,5000.0,649.0,106.0,2081.0,86.0,1316.0,4235.0,,,,False,649.0,4235.0,4238.0,4238.0,649.0,-3.0,Sprint,86.53333333333333,104.03959604039596,263.2,34.60221047573282,21.500810125516576,1:10:35,2022 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
184628,560526,98284,Max Gelhaar,Germany,FINISH,3.0,00:11:32,00:01:50,00:35:14,00:01:11,00:23:24,01:13:10,PTS3 Men,sprint,2022 World Triathlon Para Championships Abu Dhabi,2022-11-24,World Championships,750.0,20002.0,5000.0,692.0,110.0,2114.0,71.0,1404.0,4390.0,,,,False,692.0,4390.0,4391.0,4391.0,692.0,-1.0,Sprint,92.26666666666667,105.68943105689432,280.8,34.062062440870385,21.165177800946072,1:13:10,2022 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
184628,560526,143430,Christopher Marston,United States,FINISH,8.0,00:16:12,00:02:21,00:37:32,00:01:12,00:22:46,01:20:00,PTS3 Men,sprint,2022 World Triathlon Para Championships Abu Dhabi,2022-11-24,World Championships,750.0,20002.0,5000.0,972.0,141.0,2252.0,72.0,1366.0,4800.0,,,,False,972.0,4800.0,4803.0,4803.0,972.0,-3.0,Sprint,129.6,112.58874112588742,273.2,31.974777975133215,19.8681997651865,1:20:00,2022 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
171973,576171,98284,Max Gelhaar,Germany,FINISH,1.0,00:11:36,00:01:40,00:31:49,00:01:27,00:21:25,01:07:57,PTS3 Men,sprint,2023 World Triathlon Para Series Yokohama,2023-05-13,World Para Series,750.0,20000.0,4980.0,696.0,100.0,1909.0,87.0,1285.0,4077.0,,,,False,696.0,4077.0,4077.0,4077.0,696.0,0.0,Sprint,92.8,95.45,258.0321285140562,37.71608171817706,23.435679413305397,1:07:57,2023 World Triathlon Para Series Yokohama,False,False,False,False,False,False,False,False,False
171981,576239,98284,Max Gelhaar,Germany,FINISH,1.0,00:11:58,00:01:26,00:38:11,00:02:00,00:23:13,01:16:50,PTS3 Men,sprint,2023 World Triathlon Para Cup Besancon,2023-06-17,World Para Cup,750.0,20000.0,5000.0,718.0,86.0,2291.0,120.0,1393.0,4610.0,,,,False,718.0,4610.0,4608.0,4608.0,718.0,2.0,Sprint,95.73333333333333,114.55,278.6,31.42732431252728,19.52802793539939,1:16:50,2023 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
171981,576239,141553,Cedric Denuziere,France,FINISH,3.0,00:13:26,00:01:26,00:39:11,00:02:34,00:24:03,01:20:42,PTS3 Men,sprint,2023 World Triathlon Para Cup Besancon,2023-06-17,World Para Cup,750.0,20000.0,5000.0,806.0,86.0,2351.0,154.0,1443.0,4842.0,,,,False,806.0,4842.0,4840.0,4840.0,806.0,2.0,Sprint,107.46666666666667,117.55,288.6,30.625265844321568,19.029652062951936,1:20:42,2023 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
