event_id,prog_id,athlete_id,full_name,country,finish_status,finish_position,swimtime,t1time,biketime,t2time,runtime,total_time,prog_name,prog_distance_category,event_name,event_date,cat_name,swim_distance,bike_distance,run_distance,swimtime_sec,t1time_sec,biketime_sec,t2time_sec,runtime_sec,total_time_sec,para_subclass,time_factor_sec,time_factor_year,time_factor_applied,swimtime_sec_adjusted,total_time_sec_adjusted,sum_splits_sec,total_time_sec_raw,swimtime_sec_raw,time_factor_segment_sec,distance_panel,swim_pace_s_per_100m,bike_pace_s_per_km,run_pace_s_per_km,bike_speed_kmh,bike_speed_mph,total_time_fmt,event_label,bike_pace_s_per_km_outlier,t2time_sec_outlier,runtime_sec_outlier,biketime_sec_outlier,bike_speed_kmh_outlier,run_pace_s_per_km_outlier,t1time_sec_outlier,swim_pace_s_per_100m_outlier,swimtime_sec_outlier
163477,546889,160752,Wim De Paepe,Belgium,FINISH,2.0,00:10:25,00:01:38,00:33:41,00:01:00,00:21:30,01:08:13,PTS2 Men,sprint,2022 World Triathlon Para Series Swansea,2022-08-06,World Para Series,750.0,19500.0,5000.0,625.0,98.0,2021.0,60.0,1290.0,4093.0,,,,False,625.0,4093.0,4094.0,4094.0,625.0,-1.0,Sprint,83.33333333333333,103.64102564102564,258.0,34.73527956457199,21.583495398317663,1:08:13,2022 World Triathlon Para Series Swansea,False,False,False,False,False,False,False,False,False
163477,546889,91519,Lionel Morales,Spain,FINISH,3.0,00:10:51,00:02:07,00:35:22,00:01:19,00:21:11,01:10:47,PTS2 Men,sprint,2022 World Triathlon Para Series Swansea,2022-08-06,World Para Series,750.0,19500.0,5000.0,651.0,127.0,2122.0,79.0,1271.0,4247.0,,,,False,651.0,4247.0,4250.0,4250.0,651.0,-3.0,Sprint,86.8,108.82051282051282,254.2,33.081998114985865,20.55619425070688,1:10:47,2022 World Triathlon Para Series Swansea,False,False,False,False,False,False,False,False,False
163477,546889,106588,Maurits Morsink,Netherlands,FINISH,5.0,00:17:59,00:01:50,00:33:47,00:00:56,00:19:08,01:13:38,PTS2 Men,sprint,2022 World Triathlon Para Series Swansea,2022-08-06,World Para Series,750.0,19500.0,5000.0,1079.0,110.0,2027.0,56.0,1148.0,4418.0,,,,False,1079.0,4418.0,4420.0,4420.0,1079.0,-2.0,Sprint,143.86666666666667,103.94871794871794,229.6,34.63246176615689,21.51960740009867,1:13:38,2022 World Triathlon Para Series Swansea,False,False,False,False,False,False,False,False,False
165397,550692,60932,Mark Barr,United States,FINISH,3.0,00:14:28,00:01:16,00:40:57,00:01:36,00:22:13,01:20:30,PTS2 Men,,2022 World Triathlon Para Cup Alhandra,2022-09-03,World Para Cup,,,,868.0,76.0,2457.0,96.0,1333.0,4830.0,,,,False,868.0,4830.0,4830.0,4830.0,868.0,0.0,Unknown,,,,,,1:20:30,2022 World Triathlon Para Cup Alhandra,False,False,False,False,False,False,False,False,False
165397,550692,160752,Wim De Paepe,Belgium,FINISH,1.0,00:14:38,00:01:24,00:32:39,00:00:00,00:00:00,01:11:30,PTS2 Men,,2022 World Triathlon Para Cup Alhandra,2022-09-03,World Para Cup,,,,878.0,84.0,1959.0,,,4290.0,,,,False,878.0,4290.0,,,878.0,,Unknown,,,,,,1:11:30,2022 World Triathlon Para Cup Alhandra,False,False,False,False,False,False,False,False,False
164701,550716,122421,Jules Ribstein,France,FINISH,1.0,00:11:21,00:01:42,00:34:55,00:00:57,00:21:59,01:10:53,PTS2 Men,sprint,2022 World Triathlon Para Cup Alanya,2022-10-15,World Para Cup,,,,681.0,102.0,2095.0,57.0,1319.0,4253.0,,,,False,681.0,4253.0,4254.0,4254.0,681.0,-1.0,Sprint,,,,,,1:10:53,2022 World Triathlon Para Cup Alanya,False,False,False,False,False,False,False,False,False
184628,560525,106588,Maurits Morsink,Netherlands,FINISH,5.0,00:17:45,00:01:53,00:34:01,00:01:10,00:20:13,01:15:00,PTS2 Men,sprint,2022 World Triathlon Para Championships Abu Dhabi,2022-11-24,World Championships,750.0,20002.0,5000.0,1065.0,113.0,2041.0,70.0,1213.0,4500.0,,,,False,1065.0,4500.0,4502.0,4502.0,1065.0,-2.0,Sprint,142.0,102.03979602039797,242.6,35.28035276825085,21.9221880799608,1:15:00,2022 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
184628,560525,91519,Lionel Morales,Spain,FINISH,2.0,00:10:56,00:02:19,00:33:51,00:01:20,00:20:58,01:09:21,PTS2 Men,sprint,2022 World Triathlon Para Championships Abu Dhabi,2022-11-24,World Championships,750.0,20002.0,5000.0,656.0,139.0,2031.0,80.0,1258.0,4161.0,,,,False,656.0,4161.0,4164.0,4164.0,656.0,-3.0,Sprint,87.46666666666667,101.53984601539847,251.6,35.45406203840472,22.03012598286558,1:09:21,2022 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
184628,560525,22133,Mohamed Lahna,United States,FINISH,4.0,00:12:19,00:01:42,00:33:00,00:01:02,00:22:51,01:10:51,PTS2 Men,sprint,2022 World Triathlon Para Championships Abu Dhabi,2022-11-24,World Championships,750.0,20002.0,5000.0,739.0,102.0,1980.0,62.0,1371.0,4251.0,,,,False,739.0,4251.0,4254.0,4254.0,739.0,-3.0,Sprint,98.53333333333333,98.99010098990101,274.2,36.36727272727272,22.597568621818176,1:10:51,2022 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
184628,560525,122421,Jules Ribstein,France,FINISH,1.0,00:10:33,00:01:56,00:33:30,00:01:12,00:20:52,01:08:02,PTS2 Men,sprint,2022 World Triathlon Para Championships Abu Dhabi,2022-11-24,World Championships,750.0,20002.0,5000.0,633.0,116.0,2010.0,72.0,1252.0,4082.0,,,,False,633.0,4082.0,4083.0,4083.0,633.0,-1.0,Sprint,84.4,100.48995100489951,250.4,35.824477611940296,22.260291478208952,1:08:02,2022 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
184628,560525,160752,Wim De Paepe,Belgium,FINISH,3.0,00:10:38,00:01:58,00:34:26,00:01:03,00:21:50,01:09:53,PTS2 Men,sprint,2022 World Triathlon Para Championships Abu Dhabi,2022-11-24,World Championships,750.0,20002.0,5000.0,638.0,118.0,2066.0,63.0,1310.0,4193.0,,,,False,638.0,4193.0,4195.0,4195.0,638.0,-2.0,Sprint,85.06666666666666,103.28967103289672,262.0,34.85343659244918,21.656914748886738,1:09:53,2022 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
171975,576193,22133,Mohamed Lahna,United States,FINISH,1.0,00:12:05,00:01:28,00:36:46,00:01:43,00:21:32,01:13:32,PTS2 Men,sprint,2023 World Triathlon Para Series Devonport,2023-03-18,World Para Series,750.0,20000.0,5000.0,725.0,88.0,2206.0,103.0,1292.0,4412.0,,,,False,725.0,4412.0,4414.0,4414.0,725.0,-2.0,Sprint,96.66666666666667,110.3,258.4,32.638259292837716,20.280467815049864,1:13:32,2023 World Triathlon Para Series Devonport,False,False,False,False,False,False,False,False,False
171973,576169,22133,Mohamed Lahna,United States,FINISH,3.0,00:12:34,00:01:32,00:31:51,00:01:19,00:22:36,01:09:52,PTS2 Men,sprint,2023 World Triathlon Para Series Yokohama,2023-05-13,World Para Series,750.0,20000.0,4980.0,754.0,92.0,1911.0,79.0,1356.0,4192.0,,,,False,754.0,4192.0,4192.0,4192.0,754.0,0.0,Sprint,100.53333333333333,95.55,272.289156626506,37.67660910518053,23.411152276295134,1:09:52,2023 World Triathlon Para Series Yokohama,False,False,False,False,False,False,False,False,False
