event_id,prog_id,athlete_id,full_name,country,finish_status,finish_position,swimtime,t1time,biketime,t2time,runtime,total_time,prog_name,prog_distance_category,event_name,event_date,cat_name,swim_distance,bike_distance,run_distance,swimtime_sec,t1time_sec,biketime_sec,t2time_sec,runtime_sec,total_time_sec,para_subclass,time_factor_sec,time_factor_year,time_factor_applied,swimtime_sec_adjusted,total_time_sec_adjusted,sum_splits_sec,total_time_sec_raw,swimtime_sec_raw,time_factor_segment_sec,distance_panel,swim_pace_s_per_100m,bike_pace_s_per_km,run_pace_s_per_km,bike_speed_kmh,bike_speed_mph,total_time_fmt,event_label,biketime_sec_outlier,swimtime_sec_outlier,bike_speed_kmh_outlier,swim_pace_s_per_100m_outlier,run_pace_s_per_km_outlier,t2time_sec_outlier,t1time_sec_outlier,runtime_sec_outlier,bike_pace_s_per_km_outlier
163477,546888,83771,Kendall Gretsch H2,United States,FINISH,2.0,00:11:23,00:01:43,00:38:48,00:00:45,00:15:01,01:11:20,PTWC Women,sprint,2022 World Triathlon Para Series Swansea,2022-08-06,World Para Series,750.0,19500.0,5000.0,683.0,103.0,2328.0,45.0,901.0,4280.0,H2,,,False,683.0,4280.0,4060.0,4060.0,683.0,220.0,Sprint,91.06666666666666,119.38461538461539,180.2,30.154639175257735,18.737218298969076,1:11:20,2022 World Triathlon Para Series Swansea,False,False,False,False,False,False,False,False,False
163477,546888,124233,Jessica Ferreira H1,Brazil,FINISH,3.0,00:14:00,00:02:22,00:39:11,00:00:55,00:15:57,01:12:23,PTWC Women,sprint,2022 World Triathlon Para Series Swansea,2022-08-06,World Para Series,750.0,19500.0,5000.0,840.0,142.0,2351.0,55.0,957.0,4343.0,H1,,,False,840.0,4343.0,4345.0,4345.0,840.0,-2.0,Sprint,112.0,120.56410256410257,191.4,29.859634198213527,18.553910761378138,1:12:23,2022 World Triathlon Para Series Swansea,False,False,False,False,False,False,False,False,False
184628,560531,124233,Jessica Ferreira H1,Brazil,FINISH,3.0,00:14:28,00:02:39,00:38:38,00:01:04,00:14:26,01:11:12,PTWC Women,sprint,2022 World Triathlon Para Championships Abu Dhabi,2022-11-24,World Championships,750.0,20002.0,5000.0,868.0,159.0,2318.0,64.0,866.0,4272.0,H1,,,False,868.0,4272.0,4275.0,4275.0,868.0,-3.0,Sprint,115.73333333333333,115.88841115888413,173.2,31.064365832614325,19.302496061777397,1:11:12,2022 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
184628,560531,132337,Leanne Taylor H1,Canada,FINISH,4.0,00:13:17,00:03:00,00:42:29,00:01:03,00:13:45,01:13:32,PTWC Women,sprint,2022 World Triathlon Para Championships Abu Dhabi,2022-11-24,World Championships,750.0,20002.0,5000.0,797.0,180.0,2549.0,63.0,825.0,4412.0,H1,,,False,797.0,4412.0,4414.0,4414.0,797.0,-2.0,Sprint,106.26666666666667,127.43725627437257,165.0,28.24919576304433,17.55323102047862,1:13:32,2022 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
184628,560531,83771,Kendall Gretsch H2,United States,FINISH,2.0,00:11:38,00:02:20,00:37:13,00:00:45,00:13:33,01:09:08,PTWC Women,sprint,2022 World Triathlon Para Championships Abu Dhabi,2022-11-24,World Championships,750.0,20002.0,5000.0,698.0,140.0,2233.0,45.0,813.0,4148.0,H2,,,False,698.0,4148.0,3929.0,3929.0,698.0,219.0,Sprint,93.06666666666666,111.63883611638836,162.6,32.24684281236005,20.037252965158977,1:09:08,2022 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
184628,560531,122515,Lauren Parker H1,Australia,FINISH,1.0,00:11:57,00:02:41,00:38:41,00:01:17,00:14:09,01:08:43,PTWC Women,sprint,2022 World Triathlon Para Championships Abu Dhabi,2022-11-24,World Championships,750.0,20002.0,5000.0,717.0,161.0,2321.0,77.0,849.0,4123.0,H1,,,False,717.0,4123.0,4125.0,4125.0,717.0,-2.0,Sprint,95.6,116.03839616038397,169.8,31.024213700990952,19.27754669159845,1:08:43,2022 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
171975,576202,122515,Lauren Parker H1,Australia,FINISH,1.0,00:12:18,00:01:53,00:39:45,00:01:43,00:14:12,01:09:49,PTWC Women,sprint,2023 World Triathlon Para Series Devonport,2023-03-18,World Para Series,750.0,20000.0,5000.0,738.0,113.0,2385.0,103.0,852.0,4189.0,H1,,,False,738.0,4189.0,4191.0,4191.0,738.0,-2.0,Sprint,98.4,119.25,170.4,30.18867924528302,18.758369811320755,1:09:49,2023 World Triathlon Para Series Devonport,False,False,False,False,False,False,False,False,False
171973,576178,124233,Jessica Ferreira H1,Brazil,FINISH,3.0,00:14:03,00:02:01,00:36:28,00:01:14,00:15:27,01:09:13,PTWC Women,sprint,2023 World Triathlon Para Series Yokohama,2023-05-13,World Para Series,750.0,20000.0,5000.0,843.0,121.0,2188.0,74.0,927.0,4153.0,H1,,,False,843.0,4153.0,4153.0,4153.0,843.0,0.0,Sprint,112.4,109.4,185.4,32.90676416819013,20.44730895795247,1:09:13,2023 World Triathlon Para Series Yokohama,False,False,False,False,False,False,False,False,False
171973,576178,122515,Lauren Parker H1,Australia,FINISH,1.0,00:12:09,00:03:52,00:34:51,00:01:12,00:15:02,01:07:06,PTWC Women,sprint,2023 World Triathlon Para Series Yokohama,2023-05-13,World Para Series,750.0,20000.0,5000.0,729.0,232.0,2091.0,72.0,902.0,4026.0,H1,,,False,729.0,4026.0,4026.0,4026.0,729.0,0.0,Sprint,97.2,104.55,180.4,34.433285509325685,21.39584505021521,1:07:06,2023 World Triathlon Para Series Yokohama,False,False,False,False,False,False,False,False,False
171973,576178,83771,Kendall Gretsch H2,United States,FINISH,2.0,00:12:09,00:01:35,00:35:43,00:01:03,00:14:05,01:08:13,PTWC Women,sprint,2023 World Triathlon Para Series Yokohama,2023-05-13,World Para Series,750.0,20000.0,5000.0,729.0,95.0,2143.0,63.0,845.0,4093.0,H2,,,False,729.0,4093.0,3875.0,3875.0,729.0,218.0,Sprint,97.2,107.15,169.0,33.59776014932338,20.876673821745218,1:08:13,2023 World Triathlon Para Series Yokohama,False,False,False,False,False,False,False,False,False
