event_id,prog_id,athlete_id,full_name,country,finish_status,finish_position,swimtime,t1time,biketime,t2time,runtime,total_time,prog_name,prog_distance_category,event_name,event_date,cat_name,swim_distance,bike_distance,run_distance,swimtime_sec,t1time_sec,biketime_sec,t2time_sec,runtime_sec,total_time_sec,para_subclass,time_factor_sec,time_factor_year,time_factor_applied,swimtime_sec_adjusted,total_time_sec_adjusted,sum_splits_sec,total_time_sec_raw,swimtime_sec_raw,time_factor_segment_sec,distance_panel,swim_pace_s_per_100m,bike_pace_s_per_km,run_pace_s_per_km,bike_speed_kmh,bike_speed_mph,total_time_fmt,event_label,t2time_sec_outlier,runtime_sec_outlier,bike_speed_kmh_outlier,bike_pace_s_per_km_outlier,biketime_sec_outlier,swim_pace_s_per_100m_outlier,swimtime_sec_outlier,run_pace_s_per_km_outlier,t1time_sec_outlier
171976,582599,114644,Veronica Yoko Plebani,Italy,FINISH,4.0,00:15:27,00:00:00,n/a,n/a,00:25:15,00:40:42,PTS2 Women,sprint,2023 World Triathlon Para Series Swansea,2023-07-15,World Para Series,750.0,,5000.0,927.0,,,,1515.0,2442.0,,,,False,927.0,2442.0,,,927.0,,Sprint,123.6,,303.0,,,40:42,2023 World Triathlon Para Series Swansea,False,False,False,False,False,False,False,False,False
171976,582599,60938,Allysa Seely,United States,FINISH,1.0,00:15:05,00:00:00,n/a,n/a,00:23:45,00:38:50,PTS2 Women,sprint,2023 World Triathlon Para Series Swansea,2023-07-15,World Para Series,750.0,,5000.0,905.0,,,,1425.0,2330.0,,,,False,905.0,2330.0,,,905.0,,Sprint,120.66666666666667,,285.0,,,38:50,2023 World Triathlon Para Series Swansea,False,False,False,False,False,False,False,False,False
171976,582599,166026,Anu Francis,Australia,FINISH,2.0,00:14:22,00:02:51,n/a,n/a,00:22:27,00:39:39,PTS2 Women,sprint,2023 World Triathlon Para Series Swansea,2023-07-15,World Para Series,750.0,,5000.0,862.0,171.0,,,1347.0,2379.0,,,,False,862.0,2379.0,,,862.0,,Sprint,114.93333333333334,,269.4,,,39:39,2023 World Triathlon Para Series Swansea,False,False,False,False,False,False,False,False,False
172816,582641,60937,Hailey Danz,United States,FINISH,2.0,00:11:38,00:00:50,00:34:57,00:01:06,00:23:42,01:12:13,PTS2 Women,sprint,2023 World Triathlon Para Cup Paris,2023-08-19,World Para Cup,,18500.0,,698.0,50.0,2097.0,66.0,1422.0,4333.0,,,,False,698.0,4333.0,4333.0,4333.0,698.0,0.0,Sprint,,113.35135135135135,,31.759656652360515,19.734529613733905,1:12:13,2023 World Triathlon Para Cup Paris,False,False,False,False,False,False,False,False,False
172816,582641,114644,Veronica Yoko Plebani,Italy,FINISH,3.0,00:11:38,00:01:10,00:37:24,00:00:59,00:24:42,01:15:52,PTS2 Women,sprint,2023 World Triathlon Para Cup Paris,2023-08-19,World Para Cup,,18500.0,,698.0,70.0,2244.0,59.0,1482.0,4552.0,,,,False,698.0,4552.0,4553.0,4553.0,698.0,-1.0,Sprint,,121.29729729729729,,29.67914438502674,18.44175962566845,1:15:52,2023 World Triathlon Para Cup Paris,False,False,False,False,False,False,False,False,False
172816,582641,166026,Anu Francis,Australia,FINISH,1.0,00:11:33,00:00:53,00:34:48,00:01:04,00:23:28,01:11:46,PTS2 Women,sprint,2023 World Triathlon Para Cup Paris,2023-08-19,World Para Cup,,18500.0,,693.0,53.0,2088.0,64.0,1408.0,4306.0,,,,False,693.0,4306.0,4306.0,4306.0,693.0,0.0,Sprint,,112.86486486486487,,31.896551724137932,19.81959224137931,1:11:46,2023 World Triathlon Para Cup Paris,False,False,False,False,False,False,False,False,False
173746,582723,60938,Allysa Seely,United States,FINISH,3.0,00:12:00,00:01:32,00:39:03,00:01:12,00:22:02,01:15:48,PTS2 Women,sprint,2023 World Triathlon Para Championships Pontevedra,2023-09-22,World Championships,750.0,19600.0,5000.0,720.0,92.0,2343.0,72.0,1322.0,4548.0,,,,False,720.0,4548.0,4549.0,4549.0,720.0,-1.0,Sprint,96.0,119.5408163265306,264.4,30.115236875800257,18.71273485275288,1:15:48,2023 World Triathlon Para Championships Pontevedra,False,False,False,False,False,False,False,False,False
173746,582723,60937,Hailey Danz,United States,FINISH,1.0,00:11:35,00:05:20,00:32:29,00:01:42,00:23:34,01:14:38,PTS2 Women,sprint,2023 World Triathlon Para Championships Pontevedra,2023-09-22,World Championships,750.0,19600.0,5000.0,695.0,320.0,1949.0,102.0,1414.0,4478.0,,,,False,695.0,4478.0,4480.0,4480.0,695.0,-2.0,Sprint,92.66666666666667,99.43877551020408,282.8,36.203181118522316,22.49560685479733,1:14:38,2023 World Triathlon Para Championships Pontevedra,False,False,False,False,False,False,False,False,False
173746,582723,114644,Veronica Yoko Plebani,Italy,FINISH,7.0,00:13:39,00:02:22,00:46:47,00:01:29,00:25:29,01:29:43,PTS2 Women,sprint,2023 World Triathlon Para Championships Pontevedra,2023-09-22,World Championships,750.0,19600.0,5000.0,819.0,142.0,2807.0,89.0,1529.0,5383.0,,,,False,819.0,5383.0,5386.0,5386.0,819.0,-3.0,Sprint,109.2,143.2142857142857,305.8,25.13715710723192,15.619500448877806,1:29:43,2023 World Triathlon Para Championships Pontevedra,False,False,False,False,False,False,False,False,False
173746,582723,166026,Anu Francis,Australia,FINISH,2.0,00:13:40,00:02:13,00:35:46,00:01:23,00:22:01,01:15:01,PTS2 Women,sprint,2023 World Triathlon Para Championships Pontevedra,2023-09-22,World Championships,750.0,19600.0,5000.0,820.0,133.0,2146.0,83.0,1321.0,4501.0,,,,False,820.0,4501.0,4503.0,4503.0,820.0,-2.0,Sprint,109.33333333333333,109.48979591836734,264.2,32.87977632805219,20.430539496738117,1:15:01,2023 World Triathlon Para Championships Pontevedra,False,False,False,False,False,False,False,False,False
183281,622233,114644,Veronica Yoko Plebani,Italy,FINISH,1.0,00:14:07,00:02:11,00:42:46,00:01:02,00:21:18,01:21:25,PTS2 Women,sprint,2023 World Triathlon Para Cup Malaga,2023-10-21,World Para Cup,750.0,20000.0,5000.0,847.0,131.0,2566.0,62.0,1278.0,4885.0,,,,False,847.0,4885.0,4884.0,4884.0,847.0,1.0,Sprint,112.93333333333334,128.3,255.6,28.059236165237724,17.43519563522993,1:21:25,2023 World Triathlon Para Cup Malaga,False,False,False,False,False,False,False,False,False
183780,628087,166026,Anu Francis,Australia,FINISH,1.0,00:14:31,00:02:29,00:38:40,00:01:51,00:23:12,01:20:45,PTS2 Women,sprint,2024 World Triathlon Para Series Devonport,2024-03-15,World Para Series,750.0,20000.0,5000.0,871.0,149.0,2320.0,111.0,1392.0,4845.0,,,,False,871.0,4845.0,4843.0,4843.0,871.0,2.0,Sprint,116.13333333333334,116.0,278.4,31.034482758620687,19.283927586206897,1:20:45,2024 World Triathlon Para Series Devonport,False,False,False,False,False,False,False,False,False
183780,628087,60938,Allysa Seely,United States,FINISH,2.0,00:13:33,00:01:52,00:41:08,00:02:13,00:23:29,01:22:16,PTS2 Women,sprint,2024 World Triathlon Para Series Devonport,2024-03-15,World Para Series,750.0,20000.0,5000.0,813.0,112.0,2468.0,133.0,1409.0,4936.0,,,,False,813.0,4936.0,4935.0,4935.0,813.0,1.0,Sprint,108.4,123.4,281.8,29.173419773095624,18.1275170178282,1:22:16,2024 World Triathlon Para Series Devonport,False,False,False,False,False,False,False,False,False
185647,631968,114644,Veronica Yoko Plebani,Italy,FINISH,1.0,00:13:49,00:00:00,00:00:00,00:00:00,00:25:21,01:23:19,PTS2 Women,sprint,2024 World Triathlon Para Cup Yenisehir,2024-04-21,World Para Cup,750.0,20300.0,5000.0,829.0,,,,1521.0,4999.0,,,,False,829.0,4999.0,,,829.0,,Sprint,110.53333333333333,,304.2,,,1:23:19,2024 World Triathlon Para Cup Yenisehir,False,False,False,False,False,False,False,False,False
183781,630328,60937,Hailey Danz,United States,FINISH,1.0,00:11:49,00:02:19,00:35:31,00:01:17,00:22:28,01:13:24,PTS2 Women,sprint,2024 World Triathlon Para Series Yokohama,2024-05-11,World Para Series,,20000.0,4980.0,709.0,139.0,2131.0,77.0,1348.0,4404.0,,,,False,709.0,4404.0,4404.0,4404.0,709.0,0.0,Sprint,,106.55,270.68273092369475,33.7869544814641,20.99423369310183,1:13:24,2024 World Triathlon Para Series Yokohama,False,False,False,False,False,False,False,False,False
