event_id,prog_id,athlete_id,full_name,country,finish_status,finish_position,swimtime,t1time,biketime,t2time,runtime,total_time,prog_name,prog_distance_category,event_name,event_date,cat_name,swim_distance,bike_distance,run_distance,swimtime_sec,t1time_sec,biketime_sec,t2time_sec,runtime_sec,total_time_sec,distance_panel,swim_pace_s_per_100m,bike_pace_s_per_km,run_pace_s_per_km,bike_speed_kmh,bike_speed_mph,total_time_fmt,event_label
152696,452695,83771,Kendall Gretsch H2,United States,FINISH,1.0,00:12:38,00:01:33,00:35:57,00:00:51,00:12:49,01:07:52,PTWC Women,,2021 World Triathlon Para Series Yokohama,2021-05-15,World Para Series,,,,758.0,93.0,2157.0,51.0,769.0,4072.0,Unknown,,,,,,1:07:52,2021 World Triathlon Para Series Yokohama
152698,452752,132337,Leanne Taylor H1,Canada,FINISH,6.0,00:16:12,00:04:14,00:56:57,00:01:13,00:17:56,01:36:31,PTWC Women,,AJ Bell 2021 World Triathlon Para Series Leeds,2021-06-05,World Para Series,,,,972.0,254.0,3417.0,73.0,1076.0,5791.0,Unknown,,,,,,1:36:31,AJ Bell 2021 World Triathlon Para Series Leeds
152698,452752,83771,Kendall Gretsch H2,United States,FINISH,1.0,00:12:49,00:03:37,00:43:46,00:00:43,00:14:42,01:19:40,PTWC Women,,AJ Bell 2021 World Triathlon Para Series Leeds,2021-06-05,World Para Series,,,,769.0,217.0,2626.0,43.0,882.0,4780.0,Unknown,,,,,,1:19:40,AJ Bell 2021 World Triathlon Para Series Leeds
154586,453958,132337,Leanne Taylor H1,Canada,FINISH,5.0,00:16:32,00:01:09,00:50:06,00:01:45,00:17:19,01:26:51,PTWC Women,,2021 World Triathlon Para Cup A Coruna,2021-06-20,World Para Cup,,,,992.0,69.0,3006.0,105.0,1039.0,5211.0,Unknown,,,,,,1:26:51,2021 World Triathlon Para Cup A Coruna
131301,508224,122515,Lauren Parker H1,Australia,FINISH,2.0,00:11:47,00:02:11,00:37:03,00:01:09,00:14:16,01:06:26,PTWC Women,,Tokyo 2020 Paralympic Games,2021-08-24,Major Games,,,,707.0,131.0,2223.0,69.0,856.0,3986.0,Unknown,,,,,,1:06:26,Tokyo 2020 Paralympic Games
131301,508224,83771,Kendall Gretsch H2,United States,FINISH,1.0,00:11:12,00:01:33,00:35:58,00:00:43,00:12:55,01:06:25,PTWC Women,,Tokyo 2020 Paralympic Games,2021-08-24,Major Games,,,,672.0,93.0,2158.0,43.0,775.0,3985.0,Unknown,,,,,,1:06:25,Tokyo 2020 Paralympic Games
163470,544239,132337,Leanne Taylor H1,Canada,FINISH,2.0,00:14:51,00:01:55,00:40:29,00:01:10,00:15:01,01:13:26,PTWC Women,sprint,2022 World Triathlon Para Series Yokohama,2022-05-14,World Para Series,750.0,20000.0,5000.0,891.0,115.0,2429.0,70.0,901.0,4406.0,Sprint,118.8,121.45,180.2,29.641827912721283,18.418572251955535,1:13:26,2022 World Triathlon Para Series Yokohama
163473,545478,132337,Leanne Taylor H1,Canada,FINISH,2.0,00:00:00,00:00:00,00:52:14,00:01:17,00:15:33,01:25:40,PTWC Women,sprint,2022 World Triathlon Para Cup Besancon,2022-06-11,World Para Cup,,,,,,3134.0,77.0,933.0,5140.0,Sprint,,,,,,1:25:40,2022 World Triathlon Para Cup Besancon
163485,545434,132337,Leanne Taylor H1,Canada,DNF,,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNF,PTWC Women,sprint,2022 World Triathlon Para Cup A Coruna,2022-06-19,World Para Cup,750.0,20800.0,5050.0,,,,,,,Sprint,,,,,,,2022 World Triathlon Para Cup A Coruna
166221,553015,122515,Lauren Parker H1,Australia,FINISH,1.0,00:13:22,00:00:00,00:37:00,00:01:05,00:13:43,01:05:08,PTWC Women,Sprint,2022 World Triathlon Para Series Montreal,2022-07-08,World Para Series,750.0,22500.0,5000.0,802.0,,2220.0,65.0,823.0,3908.0,Sprint,106.93333333333334,98.66666666666667,164.6,36.486486486486484,22.671644594594593,1:05:08,2022 World Triathlon Para Series Montreal
166221,553015,132337,Leanne Taylor H1,Canada,FINISH,3.0,00:15:17,00:00:00,00:43:15,00:00:52,00:13:18,01:12:40,PTWC Women,Sprint,2022 World Triathlon Para Series Montreal,2022-07-08,World Para Series,750.0,22500.0,5000.0,917.0,,2595.0,52.0,798.0,4360.0,Sprint,122.26666666666667,115.33333333333333,159.6,31.213872832369944,19.395395375722543,1:12:40,2022 World Triathlon Para Series Montreal
166221,553015,83771,Kendall Gretsch H2,United States,FINISH,2.0,00:12:25,00:00:00,00:41:54,00:00:55,00:12:56,01:11:50,PTWC Women,Sprint,2022 World Triathlon Para Series Montreal,2022-07-08,World Para Series,750.0,22500.0,5000.0,745.0,,2514.0,55.0,776.0,4310.0,Sprint,99.33333333333333,111.73333333333333,155.2,32.21957040572792,20.020306682577566,1:11:50,2022 World Triathlon Para Series Montreal
163477,546888,132337,Leanne Taylor H1,Canada,FINISH,5.0,00:13:55,00:02:21,00:41:22,00:00:55,00:15:11,01:13:42,PTWC Women,sprint,2022 World Triathlon Para Series Swansea,2022-08-06,World Para Series,750.0,19500.0,5000.0,835.0,141.0,2482.0,55.0,911.0,4422.0,Sprint,111.33333333333333,127.28205128205128,182.2,28.283642224012894,17.574635052377115,1:13:42,2022 World Triathlon Para Series Swansea
163477,546888,83771,Kendall Gretsch H2,United States,FINISH,2.0,00:11:23,00:01:43,00:38:48,00:00:45,00:15:01,01:11:20,PTWC Women,sprint,2022 World Triathlon Para Series Swansea,2022-08-06,World Para Series,750.0,19500.0,5000.0,683.0,103.0,2328.0,45.0,901.0,4280.0,Sprint,91.06666666666666,119.38461538461539,180.2,30.154639175257735,18.737218298969076,1:11:20,2022 World Triathlon Para Series Swansea
163477,546888,122515,Lauren Parker H1,Australia,FINISH,1.0,00:11:47,00:02:12,00:35:37,00:01:04,00:16:00,01:06:38,PTWC Women,sprint,2022 World Triathlon Para Series Swansea,2022-08-06,World Para Series,750.0,19500.0,5000.0,707.0,132.0,2137.0,64.0,960.0,3998.0,Sprint,94.26666666666667,109.58974358974359,192.0,32.84978942442677,20.411906504445486,1:06:38,2022 World Triathlon Para Series Swansea
